,,Visa Free:,38,58,50,65,151,50,65,0,84,141,74,67,67,160,184,79,12,90,75,61,94,70,174,99,59,86,59,87,66,71,66,125,76,129,134,70,50,50,48,167,76,65,54,52,63,136,74,61,61,66,55,54,50,64,126,68,125,67,66,147,168,193,83,49,78,69,57,64,81,58,109,63,48,137,62,61,64,73,173,192,82,66,68,52,10,69,61,176,81,66,164,85,86,71,70,118,70,57,76,56,102,132,163,178,77,65,45,45,0,166,0,137,193,80,0,184,69,69,70,0,86,52,154,42,68,64,54,154,44,77,51,49,166,139,173,101,65,71,85,170,86,57,148,69,78,61,73,80,135,67,63,153,55,75,71,56,68,53,71,76,58,166,73,69,165,107,72,56,67,78,70,165,66,51,63,56,133,76,120,79,72,73,154,180,71,72,65,142,93,56,84,140,68,66,53,66,89,64,164,147,150,79,47,110,78,186,56,59,93,89,29,61,86,51,76,64,70,181,169,50,10,83,78,85,62,58,67,73,93,64,103,55,71,83,72,79,68,170,171,129,65,65,95,140,125,57,62,70,73,59,0,69,62,25
Italy,"Nationals from the EU and the following nationals do not require visas for visits of up to 90 days. AndorraArgentinaAustraliaBoliviaBrazilBruneiBulgariaCanadaChileCosta RicaCroatiaCyprusCzech RepublicEl SalvadorEstoniaGuatemalaHoly SeeHondurasHong Kong (Hksarp)HungaryIsraelJapanLatviaLithuaniaMacao (Special Passport)MalaysiaMaltaMexicoMonacoNew ZealandNicaraguaPanamaParaguayPolandRomaniaSan MarinoSingaporeSlovakiaSloveniaSouth KoreaSwitzerlandU.S.A.UruguayVenezuelaIf your country isn't listed, you will need to apply for a visa in advance.",Italy,,,,,90 days,,,,,90 days,,,,90 days,None,,,,,,,,None,,,,,90 days,,,,90 days,,90 days,90 days,,,,,90 days,,,,,,90 days,,,,,,,,,90 days,,90 days,,,90 days,90 days,None,,,,,,,,,90 days,,,90 days,,,,,None,None,,,,,,,,None,,,None,,,,,90 days,,,,,90 days,90 days,90 days,None,,,,,,None,,90 days,None,,,90 days,,,,,,,90 days,,,,,90 days,,,,,,90 days,None,90 days,,,,90 days,,,90 days,,,,,,90 days,,,90 days,,,,,,,,,,None,,,90 days,90 days,,,,,,None,,,,,90 days,,90 days,,,,90 days,None,,,,None,,,,90 days,,,,,,,90 days,None,90 days,,,,,None,,,,,,,,,,,,None,90 days,,,,,,,,,,,,None,,,,,,,None,90 days,90 days,,,,90 days,90 days,,,,,,,,,
Jamaica,"Most nationalities can enter Jamaica without a visa, and some can get a visa the airport.Check your country through the link below.",Jamaica,,$20 at Entry,,,$20 at Entry,,,,None,30 days $30 at entry,$20 at Entry,,,None,90 days $38 at entry,$20 at Entry,,None,,None,None,$20 at Entry,90 days $38 at entry,None,,,,,$20 at Entry,None,,30 days $60 at entry,,None,$20 at Entry,,,,,None,,,,,,30 days free at entry,,,,,,,,,30 days $20 at entry,,$20 at Entry,,,None,$20 at Entry,90 days $38 at entry,,,None,,,,30 days $50 at entry,,,,,$20 at Entry,,,,90 days free at entry,90 days $38 at entry,30 days $38 at entry,,,,,,None,$20 at Entry,90 days $38 at entry,None,,30 days $38 at entry,,None,,,,,,None,,,,$20 at Entry,90 days $38 at entry,None,,,,,None,,90 days $13 at entry,90 days $38 at entry,,,30 days $28 at entry,,$20 at Entry,None,,None,,90 days $30 at entry,$20 at Entry,,$20 at Entry,,$20 at Entry,,None,,,90 days $38 at entry,$25 at entry,90 days $38 at entry,,$20 at Entry,,None,None,None,,None,,,,None,,90 days $71 at entry,,$20 at Entry,30 days free at entry,,$20 at Entry,,,None,,None,None,,90 days $38 at entry,,,None,,,,,,,90 days $38 at entry,,,,,,None,,,,,$20 at Entry,30 days $38 at entry,,,,$20 at Entry,$20 at Entry,,,90 days $20 at entry,,,,$20 at Entry,None,,None,$20 at Entry,$20 at Entry,None,,None,,30 days $38 at entry,,,None,None,,,None,,,,None,90 days $38 at entry,90 days $38 at entry,,,"$20 at Entry, Affidavit of Identity required",$20 at Entry,None,,,,,None,,90 days $38 at entry,$20 at Entry,,None,None,$20 at Entry,,None,,30 days at entry $6.50,,$20 at Entry,None,,14 days at entry $25,,,,,,,None,,
Jan Mayen,,Jan Mayen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,"The following countries can gain entry to Japan without a visa. Length of stay varies from 30 to 90 days depending on your nationality.   AndorraArgentinaAustraliaAustriaBahamasBarbadosBelgiumBrunei(14 Days)BulgariaCanadaChileCosta RicaCroatiaCyprusCzech Rep.DenmarkDominican Rep.El SalvadorEstoniaFinlandFranceGermanyGreeceGuatemalaHondurasHong Kong (BNO, SAR passport)HungaryIcelandIrelandIsraelItalyLatviaLesothoLiechtensteinLithuaniaLuxembourgMacau (SAR passport)MacedoniaMaltaMauritiusMexicoMonacoNetherlandsNew ZealandNorwayPolandPortugalRepublic of KoreaSan MarinoSingaporeSlovakiaSloveniaSpainSurinameSwedenSwitzerlandTaiwanTunisiaTurkeyU.S.AUnited KingdomUruguayAll foreigners should expect to be photographed, fingerprinted and questioned each and every time they enter Japan.",Japan,,,,,30 to 90 days,,,,,30 to 90 days,,,,30 to 90 days,30 to 90 days,,,30 to 90 days,,,30 to 90 days,,30 to 90 days,,,,,,,,,,,14 Days,30 to 90 days,,,,,30 to 90 days,,,,,,30 to 90 days,,,,,,,,,30 to 90 days,,30 to 90 days,,,30 to 90 days,30 to 90 days,30 to 90 days,,,,30 to 90 days,,,,,30 to 90 days,,,30 to 90 days,,,,,30 to 90 days,30 to 90 days,,,,,,,,30 to 90 days,,,30 to 90 days,,,,,30 to 90 days,,,,,30 to 90 days,30 to 90 days,30 to 90 days,30 to 90 days,,,,,,30 to 90 days,,30 to 90 days,30 to 90 days,,,,,,,,,,30 to 90 days Andorra,,,,,30 to 90 days,,30 to 90 days,,,30 to 90 days,30 to 90 days,30 to 90 days,30 to 90 days Andorra,30 to 90 days,,,,,,30 to 90 days,,,,30 to 90 days,,30 to 90 days,,,30 to 90 days,,,,,,,,,,30 to 90 days,,,30 to 90 days,,,,,,,30 to 90 days,,,,,,,,,,,30 to 90 days,30 to 90 days,,,,,,,,30 to 90 days,,,,,,,30 to 90 days,30 to 90 days Andorra,30 to 90 days,,,,,30 to 90 days,,,,,,,,,30 to 90 days,,,30 to 90 days,30 to 90 days,,,30 to 90 days,,,,,,,,30 to 90 days,30 to 90 days,,,,,,,30 to 90 days,30 to 90 days Andorra,30 to 90 days,,,,,,,,,,,,,,
Jordan,"Citizens from Bahrain, Egypt, Hong Kong, Japan, Kuwait, Oman, Qatar, Saudi Arabia, South Africa, Syria, United Arab Emirates, Vatican and Yemen do not require a visa for entry.Everyone else needs a visa, most nationalities can obtain a visa on arrival.The cost of single entry visa for all nationalities is JD 10 (around $14) for all nationalities and for multiple entries it is JD 20 (around $30).Groups of five persons or more arriving through a designated Jordanian tour operator are exempted from all visa charges.Departure taxes for non Jordanians are 5JD , around $7, from any border.Visas are available at most borders for all visitors except nationals from Africa:Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo, Cote d'lviore, Djibouti, Eritrea, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea Bissau, Guyana, Liberia, Madagascar, Mali, Mauritania, Mozambique, Niger, Nigeria, Senegal, Sierra Leone, Somalia, Sudan, Tanzania, Togo, Uganda, Zambia.Asia:Afghanistan, Bangladesh, Cambodia, India, Iran, Laos, Lebanon, Mangolia, Pakistan, Papua New Guinea, Philippines, Russia, Sri Lanka, Vietnam.Europe:Albania, Bosnia and Herzegovina, Macedonia.South America:Belize, Colombia, Cuba.In addition to All Palestinians holding travel documents of whatsoever nationalities, and Moroccan females of (16-35) years old traveling alone.Border visas are NOT availiable at the Allenby/King Hussein bridge crossing with Israel, so get one before hand. If you leave Jordan at the Allenby/King Hussein bridge crossing with Israel, then return while the visa is still valid you do not need to buy a new one. This is because West Bank is recognized by Jordan as a part of Jordan.",Jordan,,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",None,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,,,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",None,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",None,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,None,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,None,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",None,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",None,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",None,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,None,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",None,,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit",None,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",None,"$14 single, $30 multiple at border except Israel bridge, $7 exit",,"$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit","$14 single, $30 multiple at border except Israel bridge, $7 exit",None,,,"$14 single, $30 multiple at border except Israel bridge, $7 exit",
Kazakhstan,"All nationalities require a visa. A visa application must be accompanied by an official invitation from the registered Kazakstan or Kazakstan-based organization you will visit. The Ministry of Foreign Affairs approves the application in Kazakstan, and notifies the Kazakstan Embassy in your country, which issues the visa (or by bilateral agreement, visa can be issued by the Russian Embassy in countries where there is no Kazakstan Embassy). The cost of a Kazakstan visa ranges between $80 - $500 and takes from one day to a week depending on the amount of money you pay.Nationals from the following countries do not require an invitation.Australia,Austria,Belgium,Brazil,Canada,Croatia,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Liechtenstein,Luxembourg,Malaysia,Monaco,Netherlands,New Zealand,Norway,PolandPortugal,Saudi Arabia,Singapore,Slovakia,Spain,Sweden,Switzerland,United Kingdom,United States of America andUnited Arab Emirates",Kazakhstan,,,,,,,,,,,,,,No invitation,No invitation,,,,,,,,No invitation,,,,,,,,,No invitation,,,,,,,,No invitation,,,,,,,,,,,,,,,,,No invitation,,,,,No invitation,,,,,,,,,,,,,,,,,No invitation,No invitation,,,,,,,,No invitation,,,No invitation,,,,,,,,,,,,No invitation,No invitation,,,,,,No invitation,,No invitation,No invitation,,,No invitation,,,,,,,,,,,,,,,,,No invitation,,No invitation,,,,,No invitation,,,,,,,,,,,,No invitation,,,,,,,,,,No invitation,,,No invitation,,,,,,,No invitation,None,,,,,,,,,,No invitation,No invitation,,,,,,,,,,No invitation,,,,,No invitation,No invitation,,,,,,No invitation,,,,,,,,,,,,No invitation,No invitation,,,,,,,,,,,,,,,,,,No invitation,No invitation,No invitation,,,,,,,,,,,,,,,
Kenya," Nationals of the following countries do not need visas to travel to Kenya: Bahamas, Bangladesh, Barbados, Botswana, Brunei-Darussalam, Cyprus, Dominica, Fiji Islands, Gambia, Ghana, Grenada, Grenadines, Jamaica, Lesotho, Malawi, Maldives, Mauritius, Namibia, Nauru, Papua New Guinea, Samoa, Seychelles, Sierra Leone, Singapore, Solomon Islands, St Lucia, St Vincent & The Grenadines, Swaziland, Tanzania, Tonga, Trinidad and Tobago, Tuvalu, Uganda, Uruguay, Vanuatu, Zambia, Zimbabwe Citizens of the following countries need to have a visa prior to arrival in Kenya: -AfghanistanArmeniaAzerbaijanCameroonGeorgiaIranIraqLebanonLibyaMaliNigeriaNorth KoreaPakistanSenegalSomaliSudanSyriaTajikistanYemenIf your country does not appear above, visas can be obtained at the Airport [or any entry point] upon arrival, it is advisable to obtain the visa from the Kenyan Embassies/High Commissions abroad prior to departure. Where applicable, visa fees are as follows: - Transit Visa = US$20 per person; Reference Fee: -US$10; Single Entry Visa= US$50 for three months (extendable for a similar period) Multiple Journey Visa= US$100 - valid. ",Kenya,,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,,$50 at airport,$50 at airport,,$50 at airport,$50 at airport,$50 at airport,$50 at airport,,,None,$50 at airport,None,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,,None,,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,,,,$50 at airport,,$50 at airport,$50 at airport,None,,$50 at airport,$50 at airport,$50 at airport,$50 at airport,,$50 at airport,,$50 at airport,,$50 at airport,$50 at airport,$50 at airport,$50 at airport,,None,$50 at airport,,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,None,,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,,$50 at airport,None,None,None,$50 at airport,$50 at airport,None,,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,,$50 at airport,None,,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,,,$50 at airport,,None,$50 at airport,$50 at airport,$50 at airport,None,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,None,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,$50 at airport,,,None,$50 at airport,
Kerguelen,,Kerguelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,http://wikitravel.org/en/Kiribati,Kiribati,,,,,,,,,None,,,,,None,None,,,None,,,None,,None,,,None,,,,,,,,,None,,,,,None,,None,,,,,,,,,,,,None,,,,,,None,None,None,,,,,,,,,,,,None,,,,None,None,None,,,,,,,,None,,,None,,None,,,,,,,,,None,None,,,,,,,None,,,None,None,,None,,,None,,,,,,,,,None,,None,,,,None,None,30 days SAR,,,None,None,,,None,,,,None,,,30 days,,,,,None,,,,,None,,None,,,None,,,,None,,,,,,,,,,,,,,None,None,,,,None,,,None,,,,,,None,None,None,None,None,None,,,,None,,,None,None,,,None,,,,,None,None,,,,,,,,,None,None,None,,,None,None,,,,None,None,,,,None,,,,,,,,,None,,
"Korea, Peoples Republic of","Everyone needs a visa, and you need a book a tour.The visa costs $70, plus you must book a hotel, the cheapest is about $120 per night, and finally you have to deposit $300 per person to a bank in Spain. Oh and you have to fly in which costs $300 per person (from Beijing)",Korea (North),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
